danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.637,0.643,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690
0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121,156943
0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,225389
0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,167303
0.801,0.806,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999,239318
0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360
0.587,0.742,-6.64,0.0529,0.0128,0.00107,0.146,0.199,145.007,206000
0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238
0.247,0.299,-6.083,0.0315,0.899,0.0,0.131,0.172,177.115,196520
0.838,0.525,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,134256
0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486
0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,162638
0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,184613
0.733,0.67,-6.009,0.0751,0.121,0.0,0.121,0.472,100.964,192841
0.515,0.593,-4.801,0.0322,0.653,0.162,0.25,0.153,94.467,209260
0.733,0.436,-10.489,0.08,0.258,0.000573,0.157,0.0976,96.985,202396
0.714,0.728,-4.595,0.0468,0.298,0.0,0.106,0.901,114.996,177955
0.824,0.453,-9.604,0.0968,0.146,0.0273,0.0896,0.552,119.959,181831
0.637,0.715,-4.971,0.0455,0.148,0.0,0.0892,0.308,141.872,210576
0.472,0.518,-7.379,0.051,0.383,0.127,0.289,0.154,147.805,211667
0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,243717
0.95,0.891,-2.653,0.241,0.0645,1.77e-05,0.309,0.912,133.01,170977
0.565,0.636,-8.198,0.0638,0.107,9.9e-06,0.447,0.525,170.01,179551
0.71,0.879,-4.218,0.0422,0.158,0.00142,0.439,0.341,114.993,201391
0.773,0.742,-3.678,0.046,0.0206,0.0,0.0754,0.571,114.071,165265
0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212,228013
0.686,0.507,-7.097,0.0357,0.626,7.51e-05,0.383,0.69,168.955,232115
0.801,0.601,-7.574,0.255,0.0777,3.23e-05,0.145,0.74,159.969,182907
0.486,0.545,-7.924,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,123891
0.836,0.743,-6.305,0.0656,0.0995,0.0,0.335,0.722,108.966,191822
0.881,0.592,-4.898,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,154487
0.873,0.695,-4.207,0.0459,0.419,1.23e-06,0.211,0.823,131.963,158805
0.736,0.906,-7.589,0.048,0.164,0.585,0.106,0.698,137.001,226627
0.667,0.75,-4.602,0.0906,0.0746,0.000198,0.197,0.486,126.041,202246
0.697,0.336,-10.395,0.0424,0.598,0.00528,0.107,0.31,82.029,216680
0.851,0.819,-5.173,0.212,0.337,0.000153,0.0658,0.903,83.154,164041
0.591,0.764,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928,141806
0.539,0.508,-6.05,0.0288,0.727,0.0,0.174,0.227,101.358,177720
0.519,0.595,-5.001,0.0283,0.00151,0.0,0.0762,0.237,129.786,247067
0.621,0.782,-5.548,0.044,0.0125,0.033,0.23,0.55,128.033,198938
0.463,0.642,-4.474,0.34,0.314,0.0,0.0686,0.339,83.389,189893
0.398,0.705,-7.07,0.0756,0.204,5.13e-05,0.443,0.635,111.487,145668
0.6,0.389,-5.727,0.0337,0.566,0.0,0.0826,0.244,143.577,147597
0.721,0.769,-4.111,0.105,0.0922,0.0,0.0817,0.915,155.932,187108
0.571,0.544,-10.613,0.0299,0.453,0.00805,0.322,0.216,132.052,132631
0.919,0.623,-6.521,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,157018
0.4,0.641,-6.303,0.0674,0.214,0.0,0.0656,0.393,81.552,163603
0.669,0.742,-3.518,0.0441,0.296,0.0,0.355,0.716,101.982,203472
0.911,0.573,-7.43,0.288,0.38,0.0,0.403,0.972,140.04,97393
0.82,0.686,-5.102,0.038,0.00412,0.0,0.184,0.668,110.058,175889
0.686,0.494,-7.093,0.0355,0.613,5.8e-05,0.402,0.7,168.946,232067
0.83,0.631,-5.867,0.0654,0.231,5.94e-05,0.145,0.802,123.959,147840
0.796,0.798,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735
0.737,0.846,-4.51,0.22,0.00614,0.0,0.0486,0.546,87.981,143901
0.563,0.664,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928,178147
0.516,0.754,-3.519,0.16,0.456,0.0,0.204,0.764,125.176,150638
0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805
0.728,0.753,-5.08,0.0954,0.288,0.0,0.0751,0.548,117.953,151000
0.768,0.714,-5.11,0.0401,0.352,0.0,0.15,0.842,131.443,163026
0.756,0.697,-6.377,0.0401,0.182,0.0,0.333,0.956,94.996,206071
0.743,0.835,-4.655,0.029,0.25,0.0,0.0912,0.955,120.019,179000
0.788,0.859,-2.724,0.0856,0.281,0.0,0.0424,0.822,141.02,207853
0.695,0.54,-5.692,0.0493,0.299,0.0,0.367,0.415,121.932,168602
0.728,0.783,-4.424,0.266,0.237,0.0,0.434,0.555,77.011,173381
0.736,0.704,-7.409,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000
0.701,0.716,-3.671,0.0361,0.174,0.0,0.324,0.732,91.007,140533
0.702,0.825,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064
0.807,0.893,-3.745,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747
0.656,0.832,-5.386,0.294,0.0529,0.0,0.4,0.742,125.915,172381
0.824,0.764,-4.175,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627
0.65,0.825,-4.645,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014
0.613,0.808,-2.851,0.0346,0.0426,0.0159,0.102,0.38,124.037,240427
0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190
0.741,0.754,-5.378,0.0897,0.091,0.0,0.15,0.885,120.046,146000
0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040
0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,174000
0.636,0.605,-4.96,0.0375,0.197,0.0,0.147,0.338,143.025,245874
0.561,0.431,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013
0.604,0.366,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981,224695
0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,182161
0.633,0.562,-5.495,0.0351,0.479,0.0,0.142,0.511,139.824,178065
0.662,0.413,-7.357,0.0299,0.213,0.0,0.134,0.467,93.005,161385
0.593,0.503,-6.725,0.22,0.293,0.0,0.405,0.71,178.781,137704
0.824,0.587,-6.401,0.0937,0.69,0.000105,0.149,0.514,98.029,209438
0.794,0.793,-4.521,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290
0.777,0.807,-4.967,0.0707,0.104,0.0,0.126,0.874,125.002,179520
0.798,0.675,-5.041,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947
0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667
0.7,0.677,-6.179,0.0615,0.526,0.00352,0.151,0.58,90.077,120377
0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280
0.501,0.591,-7.167,0.0464,0.333,0.0,0.109,0.213,119.052,163425
0.737,0.802,-4.771,0.0878,0.468,0.0,0.0931,0.682,144.015,172325
0.707,0.627,-3.785,0.0383,0.0878,0.0,0.172,0.565,140.993,139755
0.8,0.658,-6.142,0.079,0.25,0.0,0.111,0.462,140.042,195429
0.778,0.695,-6.865,0.0913,0.175,0.0,0.15,0.472,149.996,132780
0.716,0.639,-4.622,0.0568,0.189,0.0,0.188,0.689,92.052,125508
0.746,0.69,-7.956,0.164,0.247,0.0,0.101,0.497,89.977,181733
0.896,0.586,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971,196653
0.755,0.522,-4.368,0.0575,0.533,0.0,0.0685,0.925,89.96,157560
