danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.637,0.643,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,0V3wPSX9ygBnCm8psDIegu,200690
0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121,3nqQXoyQOWXiESFLlDF1hG,156943
0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,1xzi1Jcr7mEi9K2RfzLOqS,225389
0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4LRPiXqCikLlN15c3yImP7,167303
0.801,0.806,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999,0WtM2NBVQNNJLh6scP13H8,239318
0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15,1bDbXMyjaUIooNwFE9wn0N,239360
0.587,0.742,-6.64,0.0529,0.0128,0.00107,0.146,0.199,145.007,73vIOb4Q7YN6HeJTbscRx5,206000
0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4uUG5RXrOk84mYEfFvj3cK,175238
0.247,0.299,-6.083,0.0315,0.899,0.0,0.131,0.172,177.115,35ovElsgyAtQwYPYnZJECg,196520
0.838,0.525,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,0QHEIqNKsMoOY5urbzN48u,134256
0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4h9wh7iOZ0GGn8QVp4RAOB,148486
0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,5ww2BF9slyYgNOk37BlC4u,162638
0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,5IgjP7X4th6nMNDh4akUHb,184613
0.733,0.67,-6.009,0.0751,0.121,0.0,0.121,0.472,100.964,0O6u0VJ46W86TxN9wgyqDj,192841
0.515,0.593,-4.801,0.0322,0.653,0.162,0.25,0.153,94.467,5odlY52u43F5BjByhxg7wg,209260
0.733,0.436,-10.489,0.08,0.258,0.000573,0.157,0.0976,96.985,5jQI2r1RdgtuT8S3iG8zFC,202396
0.714,0.728,-4.595,0.0468,0.298,0.0,0.106,0.901,114.996,1qEmFfgcLObUfQm0j1W2CK,177955
0.824,0.453,-9.604,0.0968,0.146,0.0273,0.0896,0.552,119.959,34ZAzO78a5DAVNrYIGWcPm,181831
0.637,0.715,-4.971,0.0455,0.148,0.0,0.0892,0.308,141.872,38T0tPVZHcPZyhtOcCP7pF,210576
0.472,0.518,-7.379,0.051,0.383,0.127,0.289,0.154,147.805,26hOm7dTtBi0TdpDGl141t,211667
0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,1IHWl5LamUGEuP4ozKQSXZ,243717
0.95,0.891,-2.653,0.241,0.0645,1.77e-05,0.309,0.912,133.01,4C6Uex2ILwJi9sZXRdmqXp,170977
0.565,0.636,-8.198,0.0638,0.107,9.9e-06,0.447,0.525,170.01,76OGwb5RA9h4FxQPT33ekc,179551
0.71,0.879,-4.218,0.0422,0.158,0.00142,0.439,0.341,114.993,1RDvyOk4WtPCtoqciJwVn8,201391
0.773,0.742,-3.678,0.046,0.0206,0.0,0.0754,0.571,114.071,0HqZX76SFLDz2aW8aiqi7G,165265
0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3WMj8moIAXJhHsyLaqIIHI,228013
0.686,0.507,-7.097,0.0357,0.626,7.51e-05,0.383,0.69,168.955,5CM4UuQ9Gnd6K2YyKGPMoK,232115
0.801,0.601,-7.574,0.255,0.0777,3.23e-05,0.145,0.74,159.969,0hquQWY3xvYqN4qtiquniF,182907
0.486,0.545,-7.924,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,4FyesJzVpA39hbYvcseO2d,123891
0.836,0.743,-6.305,0.0656,0.0995,0.0,0.335,0.722,108.966,1PckUlxKqWQs3RlWXVBLw3,191822
0.881,0.592,-4.898,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,0mBP9X2gPCuapvpZ7TGDk3,154487
0.873,0.695,-4.207,0.0459,0.419,1.23e-06,0.211,0.823,131.963,6G12ZafqofSq7YtrMqUm76,158805
0.736,0.906,-7.589,0.048,0.164,0.585,0.106,0.698,137.001,39JofJHEtg8I4fSyo7Imft,226627
0.667,0.75,-4.602,0.0906,0.0746,0.000198,0.197,0.486,126.041,72yP0DUlWPyH8P7IoxskwN,202246
0.697,0.336,-10.395,0.0424,0.598,0.00528,0.107,0.31,82.029,2TktkzfozZifbQhXjT6I33,216680
0.851,0.819,-5.173,0.212,0.337,0.000153,0.0658,0.903,83.154,5unjCay0kUjuej5ebn4nS4,164041
