,region,customer_lifetime_value,response,coverage,education,month,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
0,central,4809,no,basic,college,feb,employed,m,48029,suburban,married,61,7,52,0,9,corporate auto,corporate l3,offer3,agent,four-door car,medsize
1,west region,2228,no,basic,college,jan,unemployed,f,92260,suburban,single,64,3,26,0,1,personal auto,personal l3,offer4,call center,four-door car,medsize
2,east,14947,no,basic,bachelor,feb,employed,m,22139,suburban,single,100,34,31,0,2,personal auto,personal l3,offer3,call center,suv,medsize
3,north west,22332,yes,extended,college,jan,employed,m,49078,suburban,single,97,10,3,0,2,corporate auto,corporate l3,offer2,branch,four-door car,medsize
4,north west,9025,no,premium,bachelor,jan,medical leave,f,23675,suburban,married,117,33,31,0,7,personal auto,personal l2,offer1,branch,four-door car,medsize
5,west region,4745,yes,basic,high school or below,feb,employed,m,50549,suburban,divorced,61,2,73,0,7,personal auto,personal l3,offer1,agent,four-door car,medsize
6,west region,5035,no,basic,doctor,feb,employed,f,37405,urban,married,63,8,99,3,4,corporate auto,corporate l2,offer2,branch,four-door car,medsize
7,west region,4956,no,basic,high school or below,feb,employed,m,87197,urban,single,63,35,45,0,3,personal auto,personal l2,offer2,branch,two-door car,medsize
8,west region,5989,yes,premium,college,jan,employed,m,66839,suburban,single,154,33,24,0,1,personal auto,personal l1,offer2,branch,sports car,medsize
9,north west,17114,no,extended,master,jan,employed,f,70961,suburban,married,85,19,8,0,2,corporate auto,corporate l3,offer2,agent,four-door car,small
10,central,5154,no,extended,high school or below,jan,employed,m,82730,urban,married,127,13,31,0,1,corporate auto,corporate l3,offer2,branch,suv,large
11,north west,2420,no,basic,bachelor,feb,employed,m,31710,urban,divorced,62,5,29,0,1,corporate auto,corporate l3,offer1,call center,two-door car,medsize
12,north west,19955,no,extended,high school or below,jan,employed,f,69096,rural,married,99,24,32,0,2,corporate auto,corporate l3,offer1,agent,four-door car,medsize
13,west region,5454,no,basic,master,jan,employed,m,66334,suburban,single,69,25,25,0,4,personal auto,personal l3,offer4,call center,two-door car,medsize
14,central,12836,no,premium,high school or below,feb,unemployed,m,37720,suburban,married,116,6,28,0,2,personal auto,personal l2,offer3,agent,two-door car,medsize
15,west region,4626,yes,basic,master,jan,employed,f,79487,suburban,divorced,114,20,87,0,1,special auto,special l1,offer2,branch,suv,medsize
16,west region,5326,no,basic,high school or below,feb,employed,f,76717,urban,married,66,26,10,0,6,personal auto,personal l3,offer4,call center,two-door car,large
17,north west,2497,no,basic,high school or below,jan,unemployed,m,10347,urban,married,69,5,74,0,1,corporate auto,corporate l2,offer2,branch,two-door car,medsize
18,west region,2736,no,basic,college,feb,disabled,m,17533,suburban,married,73,10,1,0,1,personal auto,personal l3,offer1,agent,two-door car,medsize
19,west region,3746,yes,extended,college,feb,employed,f,41479,rural,married,94,14,38,1,1,personal auto,personal l2,offer2,call center,two-door car,large
20,west region,7247,no,basic,bachelor,feb,unemployed,f,89926,suburban,single,104,9,58,0,7,personal auto,personal l3,offer1,call center,suv,medsize
21,north west,6274,no,extended,high school or below,feb,medical leave,f,13662,suburban,single,85,29,37,0,3,personal auto,personal l1,offer1,agent,four-door car,small
22,north west,15031,no,basic,college,jan,employed,f,59456,suburban,married,189,11,7,0,8,personal auto,personal l3,offer2,call center,luxury car,large
23,west region,5107,no,basic,bachelor,feb,employed,m,70174,rural,married,64,29,80,1,7,personal auto,personal l2,offer1,agent,four-door car,medsize
24,north west,2502,no,basic,high school or below,feb,unemployed,m,18997,suburban,divorced,74,26,95,1,1,corporate auto,corporate l1,offer1,agent,four-door car,medsize
25,central,9521,no,extended,college,jan,employed,m,27769,rural,married,121,24,78,0,6,special auto,special l3,offer4,agent,suv,small
26,central,8869,no,basic,college,feb,employed,f,81350,rural,married,110,1,28,0,9,personal auto,personal l3,offer3,branch,suv,large
